date_releve,annee,mois,saison,marche,produit,prix_kg_fcfa,precipitations_mm,temp_moy_mensuelle,rendement_kg_ha,prix_ndjamena,indice_fao,taux_fcfa_usd,distance_ndjamena_km
2015-10-01,2015,10,seche,Abdi,mil,210.0,9.3,30.1483870967742,349.7,317.0,118.2,591.4,680
2015-11-01,2015,11,seche,Abdi,mil,200.0,0.0,28.15666666666667,349.7,300.0,118.2,591.4,680
2015-12-01,2015,12,seche,Abdi,mil,180.0,0.0,23.061290322580643,349.7,300.0,118.2,591.4,680
2016-01-01,2016,1,seche,Abdi,mil,180.0,0.0,23.42903225806452,467.9,282.0,113.6,592.7,680
2016-02-01,2016,2,seche,Abdi,mil,170.0,0.0,26.75862068965517,467.9,270.0,113.6,592.7,680
2016-03-01,2016,3,soudure,Abdi,mil,170.0,0.0,33.46774193548387,467.9,290.0,113.6,592.7,680
2016-04-01,2016,4,soudure,Abdi,mil,180.0,0.2,33.10333333333333,467.9,290.0,113.6,592.7,680
2016-05-01,2016,5,soudure,Abdi,mil,190.0,4.8,32.725806451612904,467.9,300.0,113.6,592.7,680
2016-06-01,2016,6,pluies,Abdi,mil,200.0,34.5,30.926666666666662,467.9,300.0,113.6,592.7,680
2016-07-01,2016,7,pluies,Abdi,mil,200.0,185.3,26.75483870967742,467.9,280.0,113.6,592.7,680
2016-08-01,2016,8,pluies,Abdi,mil,200.0,233.3,25.44516129032258,467.9,250.0,113.6,592.7,680
2016-09-01,2016,9,pluies,Abdi,mil,190.0,54.3,26.74,467.9,250.0,113.6,592.7,680
2016-10-01,2016,10,seche,Abdi,mil,180.0,2.0,29.13870967741936,467.9,250.0,113.6,592.7,680
2016-11-01,2016,11,seche,Abdi,mil,180.0,0.0,29.27,467.9,250.0,113.6,592.7,680
2016-12-01,2016,12,seche,Abdi,mil,150.0,0.0,26.72258064516129,467.9,220.0,113.6,592.7,680
2017-01-01,2017,1,seche,Abdi,mil,142.0,0.0,27.529032258064515,412.3,220.0,118.1,580.3,680
2017-02-01,2017,2,seche,Abdi,mil,140.0,0.0,26.228571428571428,412.3,266.0,118.1,580.3,680
2017-03-01,2017,3,soudure,Abdi,mil,187.0,0.0,30.82258064516129,412.3,254.0,118.1,580.3,680
2017-04-01,2017,4,soudure,Abdi,mil,180.0,5.9,32.53,412.3,240.0,118.1,580.3,680
2017-05-01,2017,5,soudure,Abdi,mil,186.0,9.0,32.39677419354839,412.3,246.0,118.1,580.3,680
2017-06-01,2017,6,pluies,Abdi,mil,200.0,24.1,30.28,412.3,276.0,118.1,580.3,680
2017-07-01,2017,7,pluies,Abdi,mil,203.0,71.60000000000001,27.69677419354839,412.3,276.0,118.1,580.3,680
2017-08-01,2017,8,pluies,Abdi,mil,220.0,91.1,26.01290322580645,412.3,286.0,118.1,580.3,680
2017-09-01,2017,9,pluies,Abdi,mil,210.0,38.8,27.44333333333333,412.3,304.0,118.1,580.3,680
2017-10-01,2017,10,seche,Abdi,mil,190.0,0.5,30.31290322580645,412.3,283.0,118.1,580.3,680
2017-11-01,2017,11,seche,Abdi,mil,190.0,0.0,28.496666666666663,412.3,275.0,118.1,580.3,680
2017-12-01,2017,12,seche,Abdi,mil,183.0,0.0,26.55161290322581,412.3,260.0,118.1,580.3,680
2018-01-01,2018,1,seche,Abdi,mil,180.0,0.0,22.4741935483871,470.2,270.0,115.6,555.7,680
